tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
A Boogie Wit da Hoodie,Artist 2.0,It's Crazy (feat. Melody),spotify:track:43KDvvVHjDBtx8qD5hs5qH,,,,,,
lilbootycall,Mariah,Mariah,spotify:track:3CwAAsuZuy1HKtNQcXDD3o,,,,,,
iann dior,nothings ever good enough,molly,spotify:track:6WsFhsmG3Uu7S7lhsZQftI,,,,,,
NAV,RECKLESS,With Me,spotify:track:3jlakYV0x21kzZvR1HUE4X,,,,,,
24kGoldn,VALENTINO,VALENTINO,spotify:track:0c7K73roy6RW4ebDkf4yGh,,,,,,
03 Greedo,The Wolf of Grape Street,Substance,spotify:track:1dOlBYd9p7MC2BAvWzP4zb,,,,,,
NAV,Bad Habits,Stuck With Me,spotify:track:6jChisgoIfN75H4RMcGvfL,,,,,,
Polo G,Epidemic,Epidemic,spotify:track:170DNUSnQRp1tGpppF26pA,,,,,,
The Weeknd,After Hours,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag,,,,,,
YoungBoy Never Broke Again,AI YoungBoy,Wat Chu Gone Do (feat. Peewee Longway),spotify:track:1cTRooWfrmzzD7JutVQM7O,,,,,,
Travis Scott,ASTROWORLD,CAN'T SAY,spotify:track:27a1mYSG5tYg7dmEjWBcmL,,,,,,
Big Scarr,"SoIcyBoyz 3 (feat. Gucci Mane, Pooh Shiesty, Foogiano & Tay Keith)","SoIcyBoyz 3 (feat. Gucci Mane, Pooh Shiesty, Foogiano & Tay Keith)",spotify:track:5FcpD5njmDN8ZQuSvW4i9t,,,,,,
guccihighwaters,rather be a ghost (feat. guardin),rather be a ghost (feat. guardin),spotify:track:07mcZNHtrTgdzXxmrdrJP9,,,,,,
YoungBoy Never Broke Again,Decided,No Love,spotify:track:7bLwNfeIviCy6WANVRB1Kj,,,,,,
Chance the Rapper,Coloring Book,No Problem (feat. Lil Wayne & 2 Chainz),spotify:track:0v9Wz8o0BT8DU38R4ddjeH,,,,,,
Jack Gilinsky,Lose Somebody,Lose Somebody,spotify:track:41EbQiljFxkBM66pqi3bYU,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,DTB 4 Life,spotify:track:4CXSzoyTD2MmedFArsSIUp,,,,,,
Juice WRLD,Bad Boy (with Young Thug),Bad Boy (with Young Thug),spotify:track:43CIWpJaJHRcI4mUSjqgc2,,,,,,
Gucci Mane,Everybody Looking,1st Day out Tha Feds,spotify:track:3O4mrgA9FYu5MA79rqTfpL,,,,,,
Lil Durk,The Voice,Still Trappin' (with King Von),spotify:track:43BlKpJcSrC9AsJ3F1DKg9,,,,,,
Yung Pinch,Nightmares (feat. Lil Skies),Nightmares (feat. Lil Skies),spotify:track:0qy1xNhQvnRhEpvKxdXYUR,,,,,,
Kanye West,808s & Heartbreak,Heartless,spotify:track:4EWCNWgDS8707fNSZ1oaA5,,,,,,
SSGKobe,Calabasas,Calabasas,spotify:track:4TkacaEBA8raWT4LizhONs,,,,,,
Don Toliver,Heaven Or Hell,Candy,spotify:track:6Ms3n5sUl0Bzg3bMCtUEAw,,,,,,
Lil Uzi Vert,XO TOUR Llif3,XO TOUR Llif3,spotify:track:2eMwDehkIC1j68U6FA3Eiq,,,,,,
Lil Baby,Street Gossip,Section 8 (feat. Young Thug),spotify:track:6XeZ32B9HbV6ZrU6NTR2iM,,,,,,
Trippie Redd,A Love Letter To You 4,Love Sick,spotify:track:7jYxZ8Fi6OTmnmQVLN3tni,,,,,,
Kanye West,My Beautiful Dark Twisted Fantasy,Runaway,spotify:track:3DK6m7It6Pw857FcQftMds,,,,,,
DaBaby,BLAME IT ON BABY,PICK UP (feat. Quavo),spotify:track:5gNOINI5dXZVom2b36LMOd,,,,,,
Kendrick Lamar,"good kid, m.A.A.d city",Money Trees,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,,,,,,
Kid Cudi,Man On The Moon: The End Of Day,Day 'N' Nite (nightmare),spotify:track:5FEXPoPnzueFJQCPRIrC3c,,,,,,
Lil Uzi Vert,Luv Is Rage 2,Malfunction,spotify:track:57nQyFocXZrKvWg5ZPYSoG,,,,,,
Drake,Nice For What,Nice For What,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,,,,,,
Lil Skies,Life of a Dark Rose,Lust,spotify:track:7oJrVhiTPZGBXWPwhxjy9S,,,,,,
A Boogie Wit da Hoodie,Mood Swings,Mood Swings,spotify:track:2xE16muNCmhZwSOv3i1d1H,,,,,,
WESTSIDE BOOGIE,Everythings For Sale,Swap Meet,spotify:track:55tFMkzZiWDvQDaH6ngUwP,,,,,,
ScHoolboy Q,THat Part,THat Part,spotify:track:0X196cAoW63CLQEL21Prh0,,,,,,
Jack Harlow,Thats What They All Say,Way Out (feat. Big Sean),spotify:track:57VeLYXrvNxe8Vs18K2M9W,,,,,,
J. Cole,KOD,Photograph,spotify:track:0bhnUFDQFCEHCBlsQfHnj5,,,,,,
H.E.R.,I Used To Know Her: The Prelude,Could've Been (feat. Bryson Tiller),spotify:track:6lzLjIOyWTyTJvk0jraYee,,,,,,
Polo G,THE GOAT,Be Something,spotify:track:65jw6GhwQW3Db55PxlPEpS,,,,,,
POORSTACY,i don't care,lost,spotify:track:0nygzznhANm4uiBwhUkE6o,,,,,,
Quando Rondo,Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),spotify:track:6HPRxfAFmvHZqQHtB1OPPu,,,,,,
Lil Skies,Shelby,Through the Motions,spotify:track:3XVT8VNy0vpvTbFPQaBSZN,,,,,,
Lil Uzi Vert,Luv Is Rage 2,UnFazed (feat. The Weeknd),spotify:track:5O8x1YlmLQopQHErxtDfi9,,,,,,
Lil Uzi Vert,Eternal Atake,Baby Pluto,spotify:track:7hav1MHURQf5SAoPk0egqh,,,,,,
Tiny Meat Gang,Bangers & Ass,Super Xan,spotify:track:6tlNzg2t1jhppQdHnF9b7a,,,,,,
Future,March Madness,March Madness,spotify:track:6hVGw7yVUd2bpdHMPCWrtN,,,,,,
Kanye West,808s & Heartbreak,Street Lights,spotify:track:6j8gTlbhj9KJSeypNcNAS9,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Come This Way,spotify:track:2BjNjFJAQTxqUPGpOnrese,,,,,,
Comethazine,Walk (Remix),Walk (Remix),spotify:track:35l8ivgXiWiDCv7TCZ50Da,,,,,,
88GLAM,88GLAM2,Talk Nice,spotify:track:16hJhVQWkrbnwYxrtTxK9K,,,,,,
JAY-Z,Magna Carta... Holy Grail,Holy Grail,spotify:track:37jTPJgwCCmIGMPB45jrPV,,,,,,
J. Cole,KOD,The Cut Off (feat. kiLL edward),spotify:track:3rFF7kSm5qBOOPs6ljFgPp,,,,,,
SZA,For The Throne (Music Inspired by the HBO Series Game of Thrones),Power is Power (feat. The Weeknd & Travis Scott),spotify:track:4cbdPT6uaBOgOQe3fLMofl,,,,,,
NLE Choppa,Camelot,Camelot,spotify:track:4sWuPniHClkInYAnzXAYUF,,,,,,
Tee Grizzley,First Day Out,First Day Out,spotify:track:0mGgkrD2phGmsBiDy58z1O,,,,,,
Travis Scott,ASTROWORLD,STARGAZING,spotify:track:7wBJfHzpfI3032CSD7CE2m,,,,,,
Travis Scott,ASTROWORLD,R.I.P. SCREW,spotify:track:4SZepBIPDRwPaHIjAKwRDb,,,,,,
Future,Monster,Codeine Crazy,spotify:track:0joQFwiBKmi6X1Iq5R1ubH,,,,,,
NAV,Perfect Timing,NAVUZIMETRO#PT2,spotify:track:4E7QkOCYzWYb7trOJWsYuS,,,,,,
Juice WRLD,Legends Never Die,Can't Die,spotify:track:4PPLJAEYBSOcnzr9TZoqf9,,,,,,
Travis Scott,Rodeo (Expanded Edition),Oh My Dis Side (feat. Quavo),spotify:track:2rMFawCg4BW65jzbwztXAV,,,,,,
ScHoolboy Q,CrasH Talk,Black Folk,spotify:track:1iWAx1WGCY6j2zAMdACQ6E,,,,,,
Johnny Rain,EP2,NINA,spotify:track:7CpuFb8jfoFn6egzDuYXNx,,,,,,
Trippie Redd,A Love Letter To You 3,1400 / 999 Freestyle,spotify:track:75lcPkAkUsKWHGBlGM476R,,,,,,
guccihighwaters,post death,side note (feat. 9TAILS),spotify:track:61uZggOTojHpAQh1Onsyq5,,,,,,
XXXTENTACION,17,Jocelyn Flores,spotify:track:7m9OqQk4RVRkw9JJdeAw96,,,,,,
Travis Scott,ASTROWORLD,YOSEMITE,spotify:track:7lAK3oHbfEnvUQWosrMMpR,,,,,,
Ryan Trey,Nowhere To Run,Nowhere To Run,spotify:track:72XxzjvIBR0TKljL0ETcGQ,,,,,,
PARTYNEXTDOOR,PARTYNEXTDOOR TWO,Recognize (feat. Drake),spotify:track:5wUUWVRvrciJqFitZF8R0P,,,,,,
Rex Orange County,Apricot Princess,Never Enough,spotify:track:2d1VRB0OXkwtMu0OKsxXDW,,,,,,
G Herbo,25,Cry No More,spotify:track:1TwQ0XtQfCgcstxhpOSg7t,,,,,,
Col3trane,Tsarina,Penelope,spotify:track:75w3hkYlT7dH1IWXMqBdq9,,,,,,
YoungBoy Never Broke Again,Genie,Genie,spotify:track:2ulXW6DPrhTDt7ZqqYDdhu,,,,,,
TOKYO’S REVENGE,THOT!,THOT!,spotify:track:2St8HeG23Nzp4NYaWTNtuM,,,,,,
MadeinTYO,"Thank You, Mr. Tokyo",Time of Her Life,spotify:track:13WsXLo3zQUrnbNN0Wz8sr,,,,,,
ScHoolboy Q,CrasH Talk,5200,spotify:track:1e3GEwsaXtBNtPfooQimDn,,,,,,
21 Savage,i am > i was,pad lock,spotify:track:5j8sYRvWdZM8TgVJXYad1B,,,,,,
Lil Baby,On Me,On Me,spotify:track:4Iedi94TIaB2GGb1nMB68v,,,,,,
Kota the Friend,To Kill A Sunrise,Go Now,spotify:track:7qatUSGcXf0eXOaZLJkZpj,,,,,,
Kevin Gates,Islah,Time for That,spotify:track:1gZNqH0rDxD1mXLeul1Qq7,,,,,,
Cordae,Locationships,Locationships,spotify:track:2nOrEg4ZHuR0cFQHeV8RnI,,,,,,
Tee Grizzley,From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),spotify:track:2NyrXRn4tancYPW6JwtTl2,,,,,,
NAV,Turks,Turks (feat. Travis Scott),spotify:track:0lSZh5W0wDeurkGzLYY6hf,,,,,,
Drake,One Dance,One Dance,spotify:track:11hqMWwX7sF3sOGdtijofF,,,,,,
DaBaby,Baby On Baby,Baby Sitter (feat. Offset),spotify:track:7f1zjZG77S891Uv4O68yfk,,,,,,
Juice WRLD,Legends Never Die,Tell Me U Luv Me (with Trippie Redd),spotify:track:5JAYDuLRkODlVt6dgoalKk,,,,,,
Juice WRLD,Goodbye & Good Riddance,Lean Wit Me,spotify:track:3RWM7z6BF8C6z9ypLtxz4M,,,,,,
Lil Tecca,Love Me,Love Me,spotify:track:4rnwyJPkkkvU6Xo86YMD1X,,,,,,
XXXTENTACION,A GHETTO CHRISTMAS CAROL,A GHETTO CHRISTMAS CAROL,spotify:track:2DZZOxB6TOmy4wMW1KxStd,,,,,,
Travis Scott,ASTROWORLD,NO BYSTANDERS,spotify:track:6OaVWaGfhXn70ZJfdVcabn,,,,,,
Lil Skies,Creeping (feat. Rich the Kid),Creeping (feat. Rich the Kid),spotify:track:7ms3VzLTfr7fXNOqA4Mkx9,,,,,,
YNW Melly,Melly vs. Melvin,Suicidal,spotify:track:1iSqfoUFnQwV0QW1EfUit8,,,,,,
Kanye West,808s & Heartbreak,Heartless,spotify:track:5h9pB5af60LWJBrG1HCHsU,,,,,,
Jaden,ERYS,I,spotify:track:0doOvUe6IiDVGBnvdH5VQF,,,,,,
Drake,Scorpion,In My Feelings,spotify:track:0bAkKNCQfWkexHFn7fIKns,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,spotify:track:4gh0ZnHzaTMT1sDga7Ek0N,,,,,,
Rich The Kid,The World Is Yours 2,Fall Threw (feat. Young Thug & Gunna),spotify:track:4bi9YrkOvmg4Eb7h00AW2c,,,,,,
NAV,RECKLESS,Freshman List,spotify:track:4LeJfeJ9u53QLp997SRhim,,,,,,
MadeinTYO,"Thank You, Mr. Tokyo",Skateboard P,spotify:track:4qdgv45EPcQqpQ08tF34f8,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,4 Min Convo (Favorite Song),spotify:track:5h66wqaGklsSa8eSxTwcJT,,,,,,
Gunna,Drip or Drown 2,On A Mountain,spotify:track:79Dpa6xXRNsXzMueN8BvAg,,,,,,
Lil Uzi Vert,Eternal Atake,Homecoming,spotify:track:6vxU64pcIuQ38O015Zy4qj,,,,,,
Luh Kel,Pull Up,Pull Up,spotify:track:6LkQuRo91zYjI8dm1iOL2C,,,,,,
Polo G,Hall of Fame,Toxic,spotify:track:3h3NKhcfHkr6GvEpC3FRI5,,,,,,
Wes Walker,Jordan Belfort,Jordan Belfort,spotify:track:6qMXubogFdMrvVMJwqATzd,,,,,,
guccihighwaters,singles,i thought i died inside,spotify:track:7wWKK00FhvSoPKsWy5HPYN,,,,,,
Kendrick Lamar,DAMN.,PRIDE.,spotify:track:6IZvVAP7VPPnsGX6bvgkqg,,,,,,
Wifisfuneral,Ethernet,Juveniles (feat. YBN Nahmir),spotify:track:3Sn3VXRunfkex2Jx490Oo4,,,,,,
Jermaine Elliott,Send for Me,Monster,spotify:track:2Md3kT5CClsWgatwSSVeMb,,,,,,
Aries,WELCOME HOME,BAD NEWS,spotify:track:1oJbzZINptfVVsi8SYWFqW,,,,,,
Playboi Carti,Playboi Carti,Lame Niggaz,spotify:track:1xUQwXDDKW79z7GRUt2vMW,,,,,,
Kanye West,The Life Of Pablo,Pt. 2,spotify:track:6BrppQL1SAkKVWqp6w0nNm,,,,,,
Rich The Kid,The World Is Yours,No Question (feat Future),spotify:track:0ITqOOwNtw5DP2GLYAlTQx,,,,,,
J. Cole,KOD,ATM,spotify:track:2UciqgwVDwro0fev3MFbxJ,,,,,,
Don Toliver,Heaven Or Hell,Euphoria (feat. Travis Scott & Kaash Paige),spotify:track:13QU8HBEBaSTZGq1HzQe9S,,,,,,
Lil Gnar,Drop Top Benz,Drop Top Benz,spotify:track:0qJ3YwgELCbYG4eKX7vCVT,,,,,,
The Kid LAROI,F*CK LOVE (SAVAGE),SO DONE,spotify:track:2gqWRRCXnma9L8xQ1RdemQ,,,,,,
Sheck Wes,Mo Bamba,Mo Bamba,spotify:track:3QybPutx0Tjk472bBKjNWn,,,,,,
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),Drowning (feat. Kodak Black),spotify:track:3LnOF5n1GOs01siYZXzS3p,,,,,,
Ty Dolla $ign,Featuring Ty Dolla $ign,Lift Me Up (feat. Future & Young Thug),spotify:track:0PPcv1x7uCQAe3oF2j66io,,,,,,
Renz Low,Pain,Pain,spotify:track:1fu7taeVKoHZgb9NXKjKRG,,,,,,
Juice WRLD,Armed And Dangerous,Armed And Dangerous,spotify:track:6SAKXCj5jyF6IgPCPbZ5ra,,,,,,
Lil Peep,"Come Over When You're Sober, Pt. 1",Benz Truck (гелик),spotify:track:3kBD2xHIqKWXjLAGidDTSz,,,,,,
XXXTENTACION,SKINS,Guardian angel,spotify:track:7uqcLJFlSYjVPLUz1vPxkY,,,,,,
NoCap,Steel Human,Surgery,spotify:track:3xf626VgqoQGzUO35qfUTm,,,,,,
The Weeknd,"My Dear Melancholy,",I Was Never There,spotify:track:5rgnyXr2PXFWsAnPFew077,,,,,,
iann dior,nothings ever good enough,emotions,spotify:track:5ls62WNKHUUrdF3r1cv83T,,,,,,
$NOT,Whipski (feat. Lil Skies & Internet Money),Whipski (feat. Lil Skies & Internet Money),spotify:track:0a2Yk4ORO4MsGaJ4DI03qx,,,,,,
Gucci Mane,Wake Up in the Sky,Wake Up in the Sky,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,,,,,,
Post Malone,Stoney,Hit This Hard,spotify:track:61jnrkPHpLumBf1kqGpRRt,,,,,,
Joyner Lucas,Ramen & OJ,Ramen & OJ,spotify:track:4TIqzdAssasqx3DAe6cG9J,,,,,,
ScHoolboy Q,CrasH Talk,CrasH,spotify:track:6BKAKoo7J2vwJGZJs5dhGD,,,,,,
Young Thug,On the Run,Climax (feat. 6lack),spotify:track:4N9QsmvQJcGwJHAmDmBttU,,,,,,
Trippie Redd,Trip At Knight,Rich MF (feat. Polo G & Lil Durk),spotify:track:5KQxun2WxwDMsV7HCN2ONK,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,way back,spotify:track:2Zy7XVdxyZQB8xp5xbpJdl,,,,,,
Juice WRLD,Legends Never Die,Bad Energy,spotify:track:0JoWBcL61YWLXM5vW0YTHO,,,,,,
Dominic Fike,"Don't Forget About Me, Demos",3 Nights,spotify:track:0uI7yAKUf52Cn7y3sYyjiX,,,,,,
Lil Tecca,We Love You Tecca,Senorita,spotify:track:06xih8BhxlC9EbjqHWBtEs,,,,,,
BlocBoy JB,Rover 2.0 (feat. 21 Savage),Rover 2.0 (feat. 21 Savage),spotify:track:7sB2rmolvEt77KFPCraSNc,,,,,,
Polo G,GNF (OKOKOK),GNF (OKOKOK),spotify:track:1A8990rtwHQ417l3yADe5t,,,,,,
Lil Baby,Yes Indeed,Yes Indeed,spotify:track:1wsf1YFQSYND45y0GzJmf7,,,,,,
6 Dogs,6 Dogs,Faygo Dreams,spotify:track:2BoeDIEzoS9diuyaqqVaDh,,,,,,
21 Savage,SAVAGE MODE II,Runnin,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,,,,,,
Aminé,REEL IT IN,REEL IT IN (feat. Gucci Mane) - Remix,spotify:track:4yVEpUXxYgBwfSOKGTFxv5,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Leaders (feat. NAV),spotify:track:4D7NrSeqkTarBrJ80b2sBc,,,,,,
Young Stoner Life,Slime Language 2,Solid (feat. Drake),spotify:track:6rTInqW3YECMkQsBEHw4sd,,,,,,
Drake,Take Care,Crew Love,spotify:track:0TiC3GtlMCskf2hIUIBcDV,,,,,,
Gunna,DS4EVER,P power (feat. Drake),spotify:track:0lEjxUUlKqjqXrVlIHFduD,,,,,,
Drake,Scary Hours 2,What’s Next,spotify:track:3aQem4jVGdhtg116TmJnHz,,,,,,
Polo G,Hall of Fame,Black Hearted,spotify:track:25qk9xa71F1POdI4vj7rbi,,,,,,
Kodak Black,Skrt,Skrt,spotify:track:5v7kaZNsnyByrSJOfO8gKq,,,,,,
Lil Baby,Drip Harder,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),spotify:track:6PoKfDY78ih5OveWirggRX,,,,,,
Joey Bada$$,ALL-AMERIKKKAN BADA$$,TEMPTATION,spotify:track:7L9g4cPfohScjJ8mGwLQWr,,,,,,
Childish Gambino,"""Awaken, My Love!""",Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y,,,,,,
iann dior,Still Here,don't wanna believe,spotify:track:6UoRwDlcwTzajgPvAxuyT4,,,,,,
Kodak Black,Painting Pictures,Coolin and Booted,spotify:track:1Nh5WUisukhSNgwXLRoyZf,,,,,,
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",wish you were gay,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,,,,,,
YoungBoy Never Broke Again,AI YoungBoy,No Smoke,spotify:track:57IRaiAB4hBZu3gnNVZC0v,,,,,,
Juice WRLD,Legends Never Die,Come & Go (with Marshmello),spotify:track:7y7w4tl4MaRC2UMEj1mPtr,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,Luv Is Art (feat. Lil Uzi Vert),spotify:track:0LVaWrTztFOuN7g7gcyLs8,,,,,,
Glass Animals,Dreamland,Heat Waves,spotify:track:3USxtqRwSYz57Ewm6wWRMp,,,,,,
J. Cole,2014 Forest Hills Drive,January 28th,spotify:track:6NyhBA9M6KK0fuVsojxL00,,,,,,
Lil Baby,Street Gossip,Ready (feat. Gunna),spotify:track:4F6yN5FsFW10Ucx7cLCzBh,,,,,,
Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),Gang Signs (feat. ScHoolboy Q),spotify:track:6snYsavG9vq3C7RGN98dst,,,,,,
iann dior,nothings ever good enough,crash my whip,spotify:track:4VE02IlNVRSXPk3p9B4Nxz,,,,,,
Ihaterare,GOOD,GOOD,spotify:track:2ElLh2quKhSf66ZhPgA93n,,,,,,
Rod Wave,SoulFly,Richer (feat. Polo G),spotify:track:7HsjuVBM93Z2RoxjpWLgTT,,,,,,
XXXTENTACION,?,SAD!,spotify:track:3ee8Jmje8o58CHK66QrVC2,,,,,,
NAV,Bad Habits,Rack In My Sleep (feat. 88GLAM),spotify:track:4Mh7CPtUTbF72KSFxlUn13,,,,,,
Quando Rondo,From the Neighborhood to the Stage,New Ones (feat. NoCap),spotify:track:5FhI6DE7oGxMmqqHRT6qbg,,,,,,
03 Greedo,Substance (We Woke Up),Substance (We Woke Up),spotify:track:2vcLUuRT3sqXnPJaIX5w5c,,,,,,
NAV,Perfect Timing,A$AP Ferg,spotify:track:4EbULzyWMuFx94aoIY1MlJ,,,,,,
Kendrick Lamar,To Pimp A Butterfly,King Kunta,spotify:track:0N3W5peJUQtI4eyR6GJT5O,,,,,,
Lil Uzi Vert,Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder),spotify:track:2eAZfqOm4EnOF9VvN50Tyc,,,,,,
Quality Control,Quality Control: Control The Streets Volume 1,Movin’ Up,spotify:track:7jTL6K5hqWDVUH4j2thZrp,,,,,,
XXXTENTACION,SKINS,what are you so afraid of,spotify:track:57nOpVSc3j9o03Cr928ZM4,,,,,,
21 Savage,i am > i was,all my friends,spotify:track:4paAidoE8VAemwU4jgCc6l,,,,,,
NAV,Wanted You (feat. Lil Uzi Vert),Wanted You (feat. Lil Uzi Vert),spotify:track:790MhTXPFrYkrqCKvpg4t1,,,,,,
NAV,RECKLESS,Never Change,spotify:track:0Cgig1rlaJEJ6bkHVV5v9o,,,,,,
Lil Nas X,Panini,Panini - DaBaby Remix,spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,,,,,,
Lil Yachty,X Men,X Men,spotify:track:5AWAcZFEwggTEqYez32DF6,,,,,,
J. Cole,2014 Forest Hills Drive,Apparently,spotify:track:1HNs07uZxZniPNmniw2GTa,,,,,,
Nipsey Hussle,Victory Lap,Dedication (feat. Kendrick Lamar),spotify:track:6fIjnWrv46njJHLDAY2JdC,,,,,,
24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),spotify:track:3tjFYV6RSFtuktYl3ZtYcq,,,,,,
Comethazine,Bawskee,Walk,spotify:track:21kOVEG3bDCVphKhXL8XmQ,,,,,,
Tee Grizzley,Late Night Calls,Late Night Calls,spotify:track:7gVseEuINTNzR31IiG1aUe,,,,,,
Drake,Scorpion,Nonstop,spotify:track:2Vx8E3K5icPZR7OCklWBXX,,,,,,
Lil Xan,Betrayed,Betrayed,spotify:track:6NWl2m8asvH83xjuXVNsuG,,,,,,
blackbear,digital druglord,i miss the old u,spotify:track:1nMYtxDrONcoGnKRvxTwPv,,,,,,
Juice WRLD,Death Race For Love,ON GOD (feat. Young Thug),spotify:track:572BChNcXOIvtfn2TGmTKc,,,,,,
Drake,If You're Reading This It's Too Late,Legend,spotify:track:1ID1QFSNNxi0hiZCNcwjUC,,,,,,
Migos,Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee (feat. Lil Uzi Vert),spotify:track:1FvU97lrWOG2NRxErh6OZz,,,,,,
Joji,Yeah Right,Yeah Right,spotify:track:2815rSBccLxZc67jEWBEvD,,,,,,
Suigeneris,Now (feat. Lil Skies),Now (feat. Lil Skies),spotify:track:0O42d2lfV85v5skjL46eYP,,,,,,
Lil Baby,My Turn,Emotionally Scarred,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,,,,,,
6LACK,6pc Hot EP,Know My Rights (feat. Lil Baby),spotify:track:7fsNNSLGG8Wi0nFbufCU6L,,,,,,
Drake,Views,Views,spotify:track:7MjSipTto9QljYzZnloXOn,,,,,,
Lil Tecca,We Love You Tecca,Weatherman,spotify:track:10mIc2UoZkg1kaOfKSZ8y1,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Motorcycle Patches,spotify:track:7g7raxdQpiLZT7aOlib4S1,,,,,,
French Montana,Jungle Rules,Unforgettable,spotify:track:3B54sVLJ402zGa6Xm4YGNe,,,,,,
Travis Scott,A-Team,A-Team,spotify:track:5cgEadiGKjtTP1Q6NJqVP5,,,,,,
POORSTACY,The Breakfast Club,Without You,spotify:track:47QWeCF5bw5SIA8slfFWcR,,,,,,
Lil Baby,Drip Harder,Close Friends (Lil Baby & Gunna),spotify:track:5nzhL67GpF9szXWg5y509A,,,,,,
G Herbo,25,Statement,spotify:track:7z250fTzTMLLFQaoU2Qm9d,,,,,,
G Herbo,25,T.O.P.,spotify:track:0C0H3ceDDykj8FQR51gMZP,,,,,,
Big Dick Chima,McDonalds,McDonalds,spotify:track:1coj24p6RgkUPJQmSpJWzy,,,,,,
NAV,Bad Habits,Tussin (feat. Young Thug),spotify:track:1KAObz8ZfyuMj4YTxHIrfA,,,,,,
A$AP Ferg,Trap Lord,Shabba (feat. A$AP Rocky),spotify:track:7eaKWfov7b2Qa2n6HTesL3,,,,,,
Drake,Take Care,HYFR (Hell Ya Fucking Right),spotify:track:0rSVWYKiBkirydeEyFevAn,,,,,,
Smiley,Over The Top (feat. Drake),Over The Top (feat. Drake),spotify:track:3yaYgjEFkRw3PVjW9mV1TO,,,,,,
Bryce Vine,La La Land (feat. YG),La La Land (feat. YG),spotify:track:3TpBefRZ1vFcOH6z57PQRI,,,,,,
Playboi Carti,Die Lit,Shoota (feat. Lil Uzi Vert),spotify:track:2BJSMvOGABRxokHKB0OI8i,,,,,,
Young Thug,Beautiful Thugger Girls,You Said (feat. Quavo),spotify:track:1gUakci7HwPcImtp0i79N3,,,,,,
Future,Beast Mode,Lay Up,spotify:track:0qof4XKrb3VLXVXnkvsTmg,,,,,,
Lil Skies,I Know You (feat. Yung Pinch),I Know You (feat. Yung Pinch),spotify:track:5Cg98kiDYtCEHmjcKD0CJD,,,,,,
Polo G,Die A Legend,Through Da Storm,spotify:track:3NqCEpT8xsHdzpiRlM1kpS,,,,,,
Lil Uzi Vert,Eternal Atake,POP,spotify:track:1jDbQz6tr52WgScCTXMnaN,,,,,,
A Boogie Wit da Hoodie,Vroom Vroom,Vroom Vroom,spotify:track:4adrh1YMaPAhtqalhG8hIH,,,,,,
Don Toliver,Heaven Or Hell,Can't Feel My Legs,spotify:track:47IXLhp3c6mu7NqvpuhuLi,,,,,,
Childish Gambino,Because The Internet,3005,spotify:track:3Z2sglqDj1rDRMF5x0Sz2R,,,,,,
YungGen,Kid Cudi,Kid Cudi Only Carti,spotify:track:6mAAhtH3B05kpRjXuTEbtI,,,,,,
D. Savage,Trust No One,Pill,spotify:track:4lEvpNn9S7x3ikIeY3oJSB,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,Come Closer (feat. Queen Naija),spotify:track:3UhRsQVrELOATEiY7E9X2T,,,,,,
G Herbo,25,2 Chains,spotify:track:6zpoUJVDLVTDGOqGM356Iq,,,,,,
NAV,Bad Habits,Tap (feat. Meek Mill),spotify:track:5rU6kDNXZLXIinFezpbWbO,,,,,,
XXXTENTACION,17,Fuck Love (feat. Trippie Redd),spotify:track:7AQim7LbvFVZJE3O8TYgf2,,,,,,
NAV,NAV,Some Way,spotify:track:7zxRMhXxJMQCeDDg0rKAVo,,,,,,
Polo G,Die A Legend,Pop Out Again (feat. Lil Baby & Gunna),spotify:track:2VIMXmWUIqhMqg6h5FOFPG,,,,,,
